Lg,Fw,Fh,LSD,eot,gap,C_Doping,SD_Doping,WK,Vg,Vd,VT,gmax,ioff,isat,sslop,rout
11,21,4,3,1,10,1.00E+17,1.00E+20,4.466,0.65,0.65,0.41202352,6.68E-05,1.10E-10,5.61E-06,0.099775497,2279387.752
11,21,4,3,2,10,1.00E+17,1.00E+20,4.466,0.65,0.65,0.496504007,1.59E-05,7.38E-10,1.11E-06,0.140291301,419573.3645
11,21,4,5,1,10,1.00E+17,1.00E+20,4.466,0.65,0.65,0.5826307,7.14E-06,1.31E-11,3.73E-07,0.090931555,18227246.46
11,21,4,5,2,10,1.00E+17,1.00E+20,4.466,0.65,0.65,,5.26E-07,6.14E-11,2.52E-08,0.109757537,4024947.039
11,21,6,3,1,10,1.00E+17,1.00E+20,4.466,0.65,0.65,0.417546377,3.17E-05,2.20E-08,2.34E-06,0.147971932,17919.46859
11,21,6,3,2,10,1.00E+17,1.00E+20,4.466,0.65,0.65,0.514629362,5.78E-06,1.29E-08,4.52E-07,0.180020784,27345.54639
11,21,6,5,1,10,1.00E+17,1.00E+20,4.466,0.65,0.65,,8.34E-07,8.71E-10,4.94E-08,0.136247598,326207.2241
11,21,6,5,2,10,1.00E+17,1.00E+20,4.466,0.65,0.65,,8.35E-08,6.97E-10,1.18E-08,0.325644656,368772.0364
11,29,4,3,1,10,1.00E+17,1.00E+20,4.466,0.65,0.65,0.4092264,7.26E-05,2.80E-10,5.75E-06,0.107117251,1005125.066
11,29,4,3,2,10,1.00E+17,1.00E+20,4.466,0.65,0.65,0.499217035,1.30E-05,1.84E-09,9.26E-07,0.151258072,186151.3736
11,29,4,5,1,10,1.00E+17,1.00E+20,4.466,0.65,0.65,0.595388483,5.60E-06,3.11E-11,2.88E-07,0.095501692,8158799.679
11,29,4,5,2,10,1.00E+17,1.00E+20,4.466,0.65,0.65,,2.99E-07,1.37E-10,1.55E-08,0.118826381,1935131.202
11,29,6,3,1,10,1.00E+17,1.00E+20,4.466,0.65,0.65,0.313685641,2.69E-05,4.58E-08,2.00E-06,0.167415821,9230.46778
11,29,6,3,2,10,1.00E+17,1.00E+20,4.466,0.65,0.65,0.451324004,4.35E-06,2.69E-08,4.12E-07,0.218202667,14360.00139
11,29,6,5,1,10,1.00E+17,1.00E+20,4.466,0.65,0.65,,5.41E-07,1.76E-09,4.39E-08,0.186876724,165544.8253
11,29,6,5,2,10,1.00E+17,1.00E+20,4.466,0.65,0.65,,8.90E-08,1.39E-09,1.82E-08,0.46981455,192265.8067
13,21,4,3,1,10,1.00E+17,1.00E+20,4.466,0.65,0.65,0.409820314,2.78E-05,3.94E-11,2.81E-06,0.100933432,5093179.96
13,21,4,3,2,10,1.00E+17,1.00E+20,4.466,0.65,0.65,0.485456666,9.54E-06,1.27E-10,8.43E-07,0.12560965,2391804.339
13,21,4,5,1,10,1.00E+17,1.00E+20,4.466,0.65,0.65,,1.62E-07,4.32E-12,1.20E-08,0.135066029,57835095.55
13,21,4,5,2,10,1.00E+17,1.00E+20,4.466,0.65,0.65,,7.64E-08,2.82E-12,4.69E-09,0.13117732,86084533.97
13,21,6,3,1,10,1.00E+17,1.00E+20,4.466,0.65,0.65,0.480396265,1.42E-05,5.98E-09,1.13E-06,0.149907072,90037.58531
13,21,6,3,2,10,1.00E+17,1.00E+20,4.466,0.65,0.65,0.554925815,4.88E-06,3.40E-09,3.62E-07,0.167961013,140373.374
13,21,6,5,1,10,1.00E+17,1.00E+20,4.466,0.65,0.65,,2.87E-08,2.63E-10,3.83E-09,0.307235077,1150800.958
13,21,6,5,2,10,1.00E+17,1.00E+20,4.466,0.65,0.65,,2.08E-08,2.10E-10,2.87E-09,0.318026491,1332614.634
13,29,4,3,1,10,1.00E+17,1.00E+20,4.466,0.65,0.65,0.404469384,3.22E-05,9.78E-11,3.16E-06,0.105687673,2779863.961
13,29,4,3,2,10,1.00E+17,1.00E+20,4.466,0.65,0.65,0.489344107,9.06E-06,3.53E-10,7.97E-07,0.138338913,1117330.557
13,29,4,5,1,10,1.00E+17,1.00E+20,4.466,0.65,0.65,,1.19E-07,9.14E-12,9.06E-09,0.146324716,29388411.92
13,29,4,5,2,10,1.00E+17,1.00E+20,4.466,0.65,0.65,,4.93E-08,5.42E-12,3.01E-09,0.137052875,47721679.87
13,29,6,3,1,10,1.00E+17,1.00E+20,4.466,0.65,0.65,0.474847946,1.28E-05,1.28E-08,1.01E-06,0.166730221,47049.32861
13,29,6,3,2,10,1.00E+17,1.00E+20,4.466,0.65,0.65,0.560484396,3.58E-06,7.41E-09,2.92E-07,0.187442133,74104.66426
13,29,6,5,1,10,1.00E+17,1.00E+20,4.466,0.65,0.65,,2.66E-08,5.18E-10,5.08E-09,0.439274402,609782.7318
13,29,6,5,2,10,1.00E+17,1.00E+20,4.466,0.65,0.65,,1.88E-08,4.10E-10,3.98E-09,0.488043057,721193.7422
